,colon_norm1,colon_norm2,colon_norm3,colon_tum1,colon_tum2,colon_tum3,liver1,liver2,liver3,liver4,liver5,liver6,liver7,liver8,liver9,met1,met2,met3,met4,met5,met6,met7,met8,met9,M12_1,M18,M19,M2,M21,M28,M3,M34,M40,M5,MN12_1,MN15,MN18,MN19,MN2,MN21,MN28,MN3,MN34,MN40,MN5,P12,P15_1,P18,P19,P21,P28,P3,P34,P40,P5,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6,D103,D106,D107_merged,D111_merged,D114_merged,D119_merged,D121,D128,D136_merged,D138_merged,D139_merged,D13_merged,D141,D144_merged,D145_merged,D146,D158,D15_merged,D15_single,D161_merged,D164_merged,D166,D168,D16_merged,D17,D170,D173_merged,D175,D18,D180_merged,D183,D186,D187_merged,D189_merged,D19,D192,D193_merged,D194,D199_merged,D206_merged,D209,D211_merged,D212_merged,D213_merged,D214_merged,D219_merged,D222_merged,D224,D230,D233,D242,D243,D246,D248,D252,D260,D263,D269,D274,D27_merged,D28_merged,D311,D312,D315,D35,D38,D3_merged,D43_merged,D44,D5,D50_merged,D53_merged,D54_merged,D56_merged,D57,D63_merged,D64_merged,D65_merged,D68,D73_merged,D75_merged,D77_merged,D78_merged,D81_merged,D83_merged,D86_merged,D8_merged,D97_merged,SRR1273998_control_Liver,SRR1273999_control_Liver,SRR1274000_control_Liver,SRR1274001_control_Liver
Hsa-Let-7-P11_5p ,6918.968407882,4646.6117996323,3563.7420455004,4416.3305080905,5652.3711026934,2708.4666883049,4831.2809235327,4743.5199333174,4549.5644947408,4757.2357414682,5479.18280202,5691.0438594457,5857.5328639215,4950.2718368127,5696.6676457898,4942.1201908939,8145.016218101,4673.7389534774,8225.1451438318,6235.2278044583,5009.4001580423,5734.2292363302,5144.0450981636,5148.3998807235,8472.9861932182,3808.1505159028,3691.2593794362,2925.1372228205,3047.3055769519,3845.7067417979,3397.6543956608,6424.9263869174,5740.2045647319,2514.1417103814,3428.8127962721,4956.2649082554,5458.597611557,4517.9271877602,4425.3302020204,4460.6783013965,6052.1613596157,2981.9248621694,4723.6980203192,3462.2488116888,3604.0841865002,7194.8686749615,4299.1785977519,3832.7086166976,5711.1820922616,1854.5068228936,2179.7231541549,3244.8333508242,930.9865495644,2779.4193587659,5358.6528017706,6084.0972308516,4069.3198627817,2347.3607976588,3891.2880210289,6181.0832651888,2858.0092100963,1851.853825205,3022.2837585601,2018.5143786466,3617.1977128621,4115.9952906864,4956.9607107524,3877.6319797739,6154.5682711682,2547.4258880049,8619.0238405452,3755.872674788,5862.0940813976,5628.7103805818,4942.1829352507,5646.5544412171,7413.7311572568,5952.1090832834,5192.9151921262,5868.9595150749,8169.5397555052,6497.8047628423,4438.6270098953,5076.540257534,5834.3461914999,5927.2238354881,7097.6294263674,5701.8017427998,5574.4981567601,6529.0054505318,4835.1693292343,3860.5962640416,4714.329850474,9343.7018826889,9343.7018826889,9465.2423215119,6690.9355660721,4355.1995322576,4900.8856616152,8250.829253415,8008.6875654043,12026.6046457592,6966.7391757022,6017.7153641419,4826.3084045499,5090.0861680261,4830.1741786466,5103.7802008221,8260.9719026601,4356.1782676641,5170.6262215862,2849.2689280864,6269.3257477457,5484.0162759617,7982.5259324817,5169.3112698656,6406.6432348791,7243.694391912,7148.2750527194,8567.7140732798,6390.4096079531,6624.7981338597,7246.2266916904,6325.3593161071,7131.4378225235,6750.0026283419,5505.9429129817,5677.2960037671,4412.2918583931,6453.3103626,5694.3236826138,4660.6724191514,6538.2692208218,5916.0847630538,5858.9273984164,4754.8041382261,4334.6620827667,4643.8890854536,6313.8579393756,5271.0425567331,8122.0300941663,4134.7442549702,5078.5629071625,8909.6501736151,7222.9803627849,4706.4447038709,7974.2129265032,6809.4051212007,5705.9592414673,7203.5126916293,11210.8555160734,5608.0094901022,4585.0881957492,6828.5235201365,8502.6094945153,8627.7901814855,6531.8329646108,6028.9484282093,6413.0085317274,9560.9842919248,8055.6028396,5972.2530799258,6124.6294703275,7533.9934426871,5176.6228484069,5743.8297142513,3706.2166085339,6131.986024356
Hsa-Let-7-P12_5p ,4179.2756770959,2426.8669194484,1965.1756672797,3776.5542031734,4168.2569243877,3229.6606243676,1193.0248440378,1343.8245656916,961.4294027796,813.8102620984,1280.3092938734,1118.3507626011,845.5253094061,1830.0328073919,1852.8022827557,5693.871637839,2568.8057735342,1547.3610823237,1694.4927346082,4070.6935198006,4080.7986795114,4488.9516548472,1970.035968449,1577.6203093599,2568.0957631155,1497.8853195734,1798.4181707564,839.456300217,1232.9605870079,1577.6063760271,3216.417046792,1280.4179424313,2447.3661045424,1771.3393592037,1907.1997675229,1842.3415289541,1252.7208789986,1221.670246767,1185.8093914014,1231.5797414877,1111.7014587418,3840.5263616622,1253.0502496927,1704.5679872643,1111.2019242142,5224.88660114,2806.6443670973,5971.0649371326,1770.7288019292,7560.364300228,2726.6866344756,2432.8149748357,2643.8833295159,1486.7445236521,1478.5926027197,2012.5914722395,2147.5060677253,879.2079283699,2761.9480163603,1711.425737824,3808.7678741036,1485.1061366035,1156.9466333674,977.7360594898,1526.6899146488,1057.12484795,1311.4834714218,824.7148180951,1626.1609737822,847.0214932897,1733.0519634985,1253.997511512,1269.8557351373,1895.9757733311,1711.8089735852,1402.1144435658,2540.1337314116,2746.8250425186,7202.2840644424,3641.3602474495,2685.596319814,5429.5559374299,7012.4010831509,3547.880853356,4402.7770600662,4122.6482618123,5986.7658301227,7490.8886225934,4349.1995258379,4233.9874660055,3675.9241126937,2979.3526397201,6078.8736728346,1936.0905055729,1936.0905055729,3202.1186369007,8552.3601504672,3948.207086885,4048.9764613023,5540.853526507,3941.2450321868,4801.25829161,3724.2206456657,2605.2515566118,10809.1321146594,5647.8772066758,4411.3005191766,7423.0042775084,6712.3247679538,4092.7860967362,2217.8871204678,6088.058165329,6922.4610874438,2815.1606190226,3938.5189357029,4522.4995128181,5981.2090945972,4983.7592051476,7327.2537954821,2295.7834712286,3876.0177895884,3499.5257747815,3194.5617309202,2159.1255040333,3677.0211474249,3501.371994491,6819.8542872886,7687.2290547728,9912.4693668635,6319.9551638197,3465.653548134,2455.1993501808,10691.932341328,7180.8225686988,2835.9352651969,6056.8755600454,6187.8495496324,2151.0395190196,10212.5531854675,3084.3389610992,2653.4017102436,5644.7243344814,4531.628971347,4567.2300885993,2548.9056712731,4635.0277995603,4165.1251808575,8308.75519834,4206.6618226318,4792.9365999554,2695.0170956156,4654.7698784416,3181.2910148076,5129.2821338525,19048.7612543759,6070.8804248287,9166.7117231552,6990.0022627447,4614.817602961,2113.0920823424,7642.8331107653,3904.9912969015,5204.6748379532,4279.0903038259,1907.2003111102,1677.0460812013,1850.2981990035,1610.0016755522
Hsa-Let-7-P1-6-7_5p ,24549.8807533403,19823.2326528765,18098.1536716098,14428.7425170578,28397.870881839,17459.3269430133,29603.4554508554,22469.2288278933,33991.3524354268,26715.4054037492,27092.9675856342,31920.8581038217,31866.219917802,21915.7183850871,24330.1345056988,21738.8811317685,31641.6034371036,30991.3135233932,44821.7272936006,27573.2491470273,28409.6186041315,26995.9556607139,14831.5191303287,22689.2032885938,32298.7380105446,12767.0195501678,26668.829851957,19258.4935117615,23808.7247360748,17483.1959994213,6655.5595102661,23759.2138552921,20516.5228772264,9073.6468057434,14018.8665871491,22591.307868865,21365.9929112545,22335.0779824177,17718.4848206697,21299.6026756526,24055.4542043411,16146.5297107644,19446.523604636,18930.1233350896,22044.1784746995,28890.2305231431,35367.5321850533,13891.7673281663,25438.5907378656,9093.0657122523,12703.8154641093,14842.9614783595,3184.9020242787,15594.9819508451,19366.3527747781,23823.6517426324,15560.6819891361,10688.4513790362,14445.4537150744,20768.5839923044,13102.632884847,9755.4885168013,16732.2685088669,10902.6794558204,14835.6164879614,15433.8618957573,18244.703436322,26460.7582357946,19731.4621963478,14947.7187672354,27966.0698080346,18485.6101060304,20419.1789639353,29532.122679187,19417.0532826138,31534.6142584827,23961.0061333308,24666.420125245,21640.1663369346,26522.0707349346,32105.4700729604,26999.5130697428,16244.7452637331,21768.2283015085,27914.5362430973,29268.8115476069,27723.9151676548,20080.4314695205,26252.3284744747,28633.0944637448,20364.6510428095,22728.063882406,20140.5923714587,27838.3542734153,27838.3542734153,30433.6584906162,27346.1958500182,16207.9715094421,16073.7667563667,29104.1198539739,35345.0077886509,31069.6595776054,35979.7772100531,20999.6440297906,25106.0783099981,26570.2886675519,17601.6439896105,26197.0216460914,24152.5091276669,14553.6183199262,21777.5325672505,13748.2445959752,25040.0776607409,18598.2272157012,28274.3762347914,21491.9791195897,23346.8203734486,29722.1540185893,24882.5763514254,26014.5312658349,24027.307412081,23690.2412140166,31083.5982886026,23247.8012657938,30219.5689567945,27117.3396974253,27406.6666746698,24557.7193977384,18442.7854008762,25980.8364975158,25304.6549180423,29761.9412246838,29415.3145852372,23482.0817165031,37509.277637789,21744.8976791415,19442.6314119689,19612.0549762628,21713.4683057068,18663.3669762913,23550.809080843,20197.6783365814,24874.5860200012,30273.3483656526,19754.4393260281,19830.5651622684,26210.8752586949,31494.6949755086,19471.9086837332,26096.8158342884,27069.2568242596,26591.8877845028,24603.3194725173,32084.4598085853,25372.2194264286,27259.1456047595,28671.4804278317,34113.1225304837,31094.6370879207,28851.4700758895,33210.5812900632,23186.4375856148,30645.6119972166,26572.2775030233,21797.1165218446,26315.3117030506,18597.9011011554,27523.5371609724
Hsa-Let-7-P2_5p ,1000.6186589627,539.1264845559,940.2867618253,597.5022575213,710.5552019965,866.0327260218,1263.0093722905,465.2163967327,1352.5732281662,849.353180172,822.2831521215,786.5912062314,775.2549922725,360.7117106794,582.0940969633,1607.195513999,1455.0876557727,1702.6247856645,3172.4997539935,990.4177442267,1309.031737639,776.7105871097,375.4941130023,730.0110171675,2513.8019837684,355.3762482111,1016.7511660921,324.4686848934,316.3746170148,1617.908488114,139.7492810555,836.3541092328,802.4822358684,209.7662345686,441.8415776943,538.3492838776,427.2136954387,544.8129440901,277.6092470745,548.4165702694,485.6451804743,140.936747217,577.9420470344,321.5097076103,667.1216778623,787.6830230299,2048.778891238,549.0003390077,627.9301977738,208.3483749858,745.9978839679,672.3317743997,57.2611027304,426.0997675431,256.0876631613,977.0682462501,388.3474850989,370.817185023,547.7971399864,620.6321987446,332.5266483161,472.5983532052,1183.2339682206,757.9597026323,390.7254311921,1035.5203831805,437.1611571406,829.069610949,465.0617704375,382.7977345753,726.2768516765,457.4595161715,630.6704679492,915.2782804818,474.0236571591,883.8819482478,382.1805914579,1249.8962512444,686.4466959091,1077.3034487297,331.4447929555,992.4951165189,706.4027666812,466.8848422247,993.1555091816,1050.0492014072,1008.7637138706,523.4948747949,575.6054033634,1085.8120379184,989.3693910502,628.4867582645,732.3682574661,1479.2652335655,1479.2652335655,409.3260617952,1420.9440601869,1749.1437672286,408.8813941892,995.4411072102,2101.9973504997,798.7202602376,1278.7397019862,434.7859978122,1169.1624960214,1187.8811248177,516.7301839046,541.409690118,552.8601847611,908.8631065225,1023.9280621542,509.1098777567,468.4590260307,433.3307273925,1644.3026017409,1050.0325478993,1024.273082046,844.3713884614,685.1034406511,566.5875874507,863.5252425376,552.6646330522,739.4753797887,474.1011231223,1285.5408276839,822.9864272422,1091.2247046551,697.9118954959,941.8289231957,627.1298537238,1648.9388795705,975.0147120021,2677.7247098988,777.9418546693,408.0246302482,811.5620805786,752.3868421094,689.6233448383,554.2609696501,548.7660743996,400.164991104,1276.47800536,1041.8153766897,921.6144696668,1140.0533706401,490.0189572991,404.0219043607,1873.8195072071,820.7403136464,525.3296118464,330.882881846,1115.9084873706,1275.7998165742,1635.9031970229,647.4744576814,705.4526361664,1594.259038023,1497.3324935855,645.4667356733,1547.8967538664,1090.8628845292,952.7060530308,1145.1490063504,789.4484968691,352.7640467878,431.8639914276,202.9520468026,314.7095090766
Hsa-Let-7-P3_5p ,24444.2631100432,19751.8712780039,18042.6396775968,14384.5073025148,28326.6788913701,17412.0979295269,29536.2890915257,22407.762412781,33857.7911291972,26651.6732747897,27003.7065855684,31828.1081203205,31773.5908633986,21901.6539376523,24241.9058255676,21688.6788269053,31485.853585386,30878.6342823764,44639.3544789582,27499.5302815797,28335.7445210173,26902.49632605,14770.3487224043,22613.9353830667,32167.801617096,12737.2983351645,26595.0111539242,19225.3844622825,23752.0392451866,17446.8542104874,6639.1826413924,23667.2414939252,20454.7672289729,9043.6545444651,13998.9363013601,22555.5301603978,21327.5546610222,22313.2438758797,17679.6792269926,21267.1209911315,24017.9658044448,16139.1119872267,19415.2581942522,18891.1739211721,21992.7362590144,28801.9356710041,35309.5403823932,13860.8860590971,25351.6081165873,9053.8714634926,12678.7455987988,14810.9199640775,3177.0039411435,15577.91100602,19322.994993191,23737.1334707332,15520.8347282596,10662.2377803013,14391.4098101105,20708.3716120621,13066.0039915938,9731.1570720854,16694.1290808428,10882.0527256989,14794.3350244249,15375.3689565676,18185.8776985151,26412.440772225,19670.2566559019,14925.1357683531,27868.495953236,18449.8471756274,20372.6927626853,29443.9617993148,19365.3509182801,31441.7290859608,23888.512643437,24566.4775369824,21572.3691324003,26411.7829931507,31977.4021876207,26937.1276624188,16205.0809372617,21726.053284065,27824.1635750012,29179.2115409,27651.7702094482,20003.8764286587,26207.5501191918,28530.0850113365,20268.3094288161,22698.1719775879,20066.4559828376,27686.6810605749,27686.6810605749,30305.5930757688,27245.4799174857,16166.1311645907,16023.422687489,29002.1745522621,35285.7920381673,30989.2290059452,35885.7202506808,20926.8909943001,25027.3846804582,26483.6075514412,17553.3124135178,26100.3515587909,24053.0672792528,14490.7724675924,21700.5859403778,13709.9000041382,24930.3354534045,18550.2034495211,28099.4567662843,21429.785681412,23275.7351753255,29606.8846725507,24791.50109245,25901.8157894649,23948.2181842598,23630.2581323217,31001.4343575149,23190.0427533322,30144.1869877568,27030.7095471893,27340.0407438575,24479.6809646969,18382.0361427926,25922.2683358893,25214.8468392471,29701.9089052433,29368.7604531269,23415.1181586536,37383.4791592942,21675.1983056082,19378.2449603322,19565.1545855638,21665.7075200242,18622.3235302836,23498.0400710271,20151.4800767494,24800.7174058567,30182.0747938975,19705.4357677452,19769.0476308326,26125.8951301258,31348.1954671531,19411.7668208456,25991.3786542429,26953.3678922121,26489.8130649948,24535.1469632347,31934.8927862247,25287.561749153,27179.3905287999,28540.7548899869,33992.2249805379,30992.2053887896,28713.2481027614,33063.9341550368,23100.7308248595,30548.0825603121,26454.2095419871,21758.9858947898,26289.4307661762,18573.2346216209,27475.3775761615
Hsa-Let-7-P4_5p ,929.4352610145,656.0315011155,594.7787067251,605.3469261102,1165.2286491127,541.4588673813,629.391059453,402.7858025598,781.2276404063,574.2019695679,608.5977277215,737.8380097756,681.2570355874,363.6073322101,535.8278378701,685.7506531713,1089.0297851018,1563.9426428746,1609.8665004756,1257.7683049568,768.6591258385,777.7994337272,747.2507265388,803.0246426622,1530.7057837774,574.6101567299,843.9667410262,490.3923214249,1060.6530659688,596.8439951833,206.3485478084,870.7655369551,925.9935323753,233.1135038271,348.9407294195,532.4564848359,401.0390774234,390.414619286,473.1297382936,429.5964726986,593.5095310849,187.2975193278,360.2074825054,252.817104883,322.1709566262,719.5255933085,971.7201782716,612.8216284174,803.9255553692,676.6165049044,233.0819909945,386.65827347,131.3056321231,475.7402781531,515.496347891,830.8695233382,598.3621469312,251.9949601008,519.8871421177,817.9749699178,300.9939489068,220.7590203059,669.9471639764,334.0949245025,357.0484477808,636.1825370422,521.7644654472,467.8291751628,661.8225324284,357.0340316251,945.0208529571,370.442760378,594.3099739021,897.1144811112,544.4105392966,1019.1840283062,963.4003262207,871.2439880973,677.0953573526,1132.1809241101,1933.3570464567,1094.9854285513,520.6729839976,1298.5465897059,886.0296832922,959.9252180529,1127.3177095199,811.5719360726,836.1340159183,962.6899219792,929.9914983441,752.973298583,679.9454554704,1270.7145659099,1270.7145659099,1254.5577997879,1274.1172187841,868.3230009417,593.1844637328,1106.6541636231,1705.6077639291,1814.1562274487,1321.6905678268,651.312889153,880.3849804777,886.6350934912,772.1118452339,904.6375329336,1496.1892788915,516.1766024491,627.0331508989,459.3758031958,920.9643391005,705.8376796703,1346.0157397723,766.015846888,890.0010411468,1195.3337469285,784.7878037088,1122.8066889444,952.9444919518,1052.5236471764,1401.351491328,691.8988471962,1071.0310634423,896.5800014719,1010.1931671807,1174.123697124,711.3264191199,703.7189881584,641.3905328881,717.5291514085,1719.05443385,782.017897321,840.6620062888,874.7271378431,903.4873052245,554.7378211879,972.3152542053,706.0992840959,890.916782392,550.3618779994,920.8698737383,1302.3353604116,821.0498147593,777.8078687287,1783.1175253201,1175.1861733911,964.557811856,1722.6356176447,820.014098488,1278.5773630806,746.2802852894,1297.210563921,1214.2105749981,1616.9392185617,1232.4492633079,1385.8290100206,1128.709105737,1261.0388233334,1358.1842287599,763.6362031243,895.2983140557,1124.4401377972,271.1511257231,404.2447826735,148.311111125,352.1669639295
Hsa-Let-7-P5-10_5p ,14579.8645895004,10876.5178433896,9523.2629764947,11892.7354882347,17700.6488251502,11379.1776323392,11365.6752661526,14412.7896424029,11014.5677224723,13331.0455133194,16820.7395679587,16545.1701337918,15184.7767115043,13681.8117324793,19458.7278069901,16537.5694882902,29377.8966881668,13731.4164044393,18538.3934135861,22568.3844199486,18015.7761578415,22083.4426716812,17456.6141718256,17930.6686157005,21523.3167792021,11914.6918037837,17909.0650983573,8868.1170070025,13564.2035831779,11109.4053248641,8811.8472453015,20968.4470670123,19611.0008304599,9000.7314879053,9762.4647462979,14984.125220296,13938.8077699445,11960.4116456886,10961.0876909403,11469.1780247783,15860.4899870188,11514.161361449,13255.7851306201,11948.972018741,12729.8831836148,16728.3891572373,14193.8511847725,11242.1544420304,16163.9321017094,7401.5244499912,6825.1014397895,9178.6337822326,2187.7690284568,10870.3733527942,14775.7784612932,12168.1944617032,10732.3044683477,5678.7839186269,10381.758025393,12800.8395600867,9139.3866348494,6463.9946122722,8945.8991453729,6177.9961887032,7574.4243227486,9597.6685564828,10794.1924059013,9681.1192564171,15064.6902427733,5678.988078085,18458.3586036863,9108.0725157481,11655.9547040296,11320.4772028812,11713.400996883,13567.3227999322,18025.7606252246,19643.9981160699,16183.3680599187,18820.0437048476,24843.8933317903,19864.0808320431,14490.0710117362,18203.3294586578,15836.6892739913,15528.5719226066,21548.9817857185,20660.1257095723,15772.5650344549,20672.284804013,16641.5392008129,11430.8157538663,18822.5776632955,20100.3119683256,20100.3119683256,26503.7416848093,21619.9490353112,14979.9302189989,17609.0419698802,22746.0188674635,30823.5778350592,28145.1146247355,18931.0018805955,18375.3381067408,20801.8178228424,18050.273492526,14627.7603445982,18805.478047882,20413.404396242,13690.7887995081,17256.8597683977,9393.2860517941,24107.027175458,14386.2823276263,23122.7445967168,16821.2519124482,17545.1193549198,19511.4454026274,22483.8080876642,19336.5573750204,20451.8286882132,16213.3757145421,19996.3833825205,14069.4120945523,19651.9275523626,16774.7090425476,19506.3918877227,18535.9014481007,18630.2033247509,18092.1556507463,14412.4094211802,13960.1687602428,23202.9242891874,18356.1669360737,19545.2549087387,18401.5058549652,17134.065573447,12665.7319106131,20218.1429663104,16781.4489704556,25421.4704788172,18673.1357621232,16411.0799859305,21859.1325601242,15528.1226376502,16775.1944342897,24146.077910661,21587.4510042578,17296.342165362,25588.564075548,25872.8035051207,19233.561191761,16445.4352800805,22937.7585614897,24460.5816609523,26444.0297391487,20911.2718002425,25770.7831465548,23246.1144568865,20738.0295984368,25691.6190562957,16954.8571823737,18571.1389575309,25574.638163617,15461.6347915437,14756.7694101232,11591.6842116109,17321.3973369756
Hsa-Let-7-P8_5p ,8621.0039636999,6519.5578031488,4879.315239321,2955.0430759469,5868.6764794856,2496.4385639298,6068.4570806964,2747.1871883743,10081.7585995991,5241.9676069198,5505.3299636554,5192.2154225386,4839.5258670057,2817.0260891363,3429.082970466,4113.1405976496,5637.4740848706,7491.473686194,8705.3498212353,3171.1079490718,4343.5408599539,5045.8966996696,2019.9938779759,3691.0078397598,5409.5543920132,1541.6681846857,2834.9624822551,1396.8234988735,2652.9628298707,2621.0350467633,1770.8854208746,2902.4475127968,2607.0436922917,1281.4058935332,1827.4786243667,2605.8799190666,2330.6392390837,2725.9708726087,2049.9801121332,2276.8613053027,2586.3587892065,2408.9057188794,2294.3569116964,2048.7391720629,2334.9258725182,4334.5801754047,4379.7315948715,2349.0352005292,3488.8307755446,3863.7277856281,2440.5852661691,1971.9931963985,2619.2018197184,1338.7214626026,2119.1807630195,3950.5517439314,2387.8961005536,1901.3469388927,3199.6275283921,3057.9716624434,2207.9259828806,1417.4398560431,2275.1460390609,1561.2401080666,2215.0764250253,2471.642703523,2491.038658953,2303.2706775415,2640.4672170082,1831.7674727207,4703.952633952,2022.4224011346,2698.1557750303,4158.6240168844,2419.7730317396,4311.7964758227,3260.9352296104,3650.7284022102,4233.234072771,4146.1797418468,4564.4926043987,3502.4950111929,2449.1147614883,3082.4758363047,4166.345171209,3961.7874310578,3578.5586871812,3564.0132896011,4039.0076465148,5138.5137393953,2599.2574224332,2132.5414627206,2711.4065813261,4115.4901234105,4115.4901234105,5245.8493515782,3755.6121829875,2426.1966202782,2080.7422554406,5077.0445298763,7574.1151451886,3821.5692451367,5024.7076214952,3031.3764787704,3713.3556439141,3328.4771177402,2228.0259892608,4378.1825337173,3810.7211084938,1952.024196854,3402.4909657878,2770.3018478676,3927.997509287,2465.9645517596,4227.8661314787,3164.6094459394,3814.9056326044,5435.9336723314,3783.9277995221,3936.6799907286,3683.6211374193,3113.9934890159,4891.91405091,3828.9080552669,4606.9007386421,3664.118927216,4284.4675147567,3486.0122759776,2236.5205582383,3264.4992241971,4090.9590519841,3732.6217665756,4589.8925806507,3383.6976927269,5298.8506941615,2878.584126926,2746.2898605358,2744.7984652691,3487.1269941602,2397.2412723772,2942.7517807342,2759.3417149698,3791.0291352358,4991.9895898407,3096.3522856196,2095.13155913,3736.1953077783,5372.3848181357,2962.6404631185,3086.265062388,3318.4196266298,4235.4908512991,3602.8475518,4786.3669547999,4289.3223152934,3773.1746650406,4555.0258229228,5260.6771733173,4803.9976788683,4396.5948164867,5466.3019268714,3463.950927178,5830.9453232443,3689.7984391276,3122.9206544018,3290.3555268161,1895.8843510546,2894.9261536311
Hsa-Let-7-P9_5p ,1236.7391984981,1056.0613220478,690.5230907155,854.4151538078,1389.2673411634,943.2404395581,506.3310164853,585.2566897756,392.2038357535,430.1918704767,492.2879397569,581.4710504114,554.4054241384,786.3680756899,666.0189390394,1267.487904733,819.5916854572,955.3239999246,1159.8386197396,1342.9758247597,1827.284662365,1548.8843133134,1936.8968065185,695.4453900036,1348.1271676476,1194.6010933572,1391.6852565403,1186.6283333245,2022.669284977,1720.6439299079,2434.694505888,787.2396169382,1251.1489621298,725.5612908023,469.8082690434,679.3555466602,531.5460889263,676.1641564376,388.8021981876,640.2035239484,671.042358143,1843.3042991271,533.9458108656,674.8871175168,407.7828192262,1238.8387368105,3222.5965297388,2324.3301852739,1471.9895658334,2349.5920703846,844.7528263732,862.0607409906,920.1266852535,1170.7074266921,707.9310976585,781.8506724038,907.0151102773,415.2080967492,785.4127127503,834.3200471892,1097.9112612506,427.309897712,647.1546771095,477.465224713,559.4724663502,532.2972383633,629.5014908689,953.6996350061,637.0393053954,646.6371370101,721.0686611698,690.7791690684,729.1659834691,797.5827674867,669.0593087547,861.69162162,1309.6521266347,1013.1771969812,1824.9721651563,1546.159549067,1560.6412073951,2243.0389633328,1286.2574441441,3567.8584931976,1330.3423047673,1361.8153066154,2265.1829275496,2433.8307788436,2182.7412820613,1443.2195047175,1672.0185416318,1622.4871881026,3013.5356295141,1192.1695092604,1192.1695092604,1567.230718302,2457.226064798,1689.3718460123,1381.6163598086,1953.3899340389,6946.0398900593,2605.0568487749,1659.316994244,1855.2024050075,2286.3309868111,1498.4560655014,1261.3944674069,914.6477490742,1246.6723473203,830.606010145,672.4059339181,3363.3142483568,1936.6840642712,1136.5624662624,1284.9280207877,1350.634165758,1309.3319068425,2044.8594557413,1850.957377685,1384.6945761781,2608.3304522258,1118.1461639025,1607.4635748684,726.7946151418,1447.940908631,969.3325062817,2671.0395686001,2835.1008003817,3949.9943128354,1097.4772440166,1485.184347837,1402.591844344,3932.9620497612,1574.517047175,834.6455573173,1932.8507522958,1765.4349642318,897.8610795419,2314.9240072832,2239.9080626809,2457.2768904278,1632.0037440677,1603.6761309074,2136.9380593392,974.7864681959,1135.5994883438,3958.9018516144,1686.5847921732,1446.0195729078,3245.1633478087,880.7558835612,1198.4629417934,1247.4177923015,1621.013166565,2758.4293178943,5018.3982617191,2105.6810430194,1904.1364116464,1508.0494651987,1177.7269491192,2658.0292702887,1207.2514540722,1428.4227079213,2275.777414647,691.7029539418,804.240456308,679.4210059115,940.1152284955
Hsa-Mir-1-P1-2_3p ,6.3659949385,10.0079976955,58.1762992321,2.3969820688,2.9568558342,10.8861201298,0.939389641,0.4820895303,0,0.6128089323,0.9016262633,0,0,1.240980656,0.5379797569,1.6039075036,3.0479423037,1.5074145955,7.2161905074,0.8377143801,2.2686858538,3.4480142886,1.1212498398,0.8766644571,32.7025322114,5.4329102694,3.2447779355,2.2703348214,0.613922284,0.4659203709,3.2753737747,4.6924674167,7.8474028167,0.3591887578,1.9287373344,1.2627426518,3.8438250232,0.6931462393,0,1.2573555298,0.3408036354,0,0.748872105,2.1245134864,3.3794156289,13.1667761962,16.3648100657,0.6862504238,5.9341824211,0,9.1471130187,25.2011910083,4.9363019595,1.3477061704,2.0295131807,14.3380138983,10.7783574502,22.9608164101,47.3201327501,20.6717153726,7.9628028811,40.6708090507,191.0010399452,97.6138214199,17.7437869587,193.4059266333,9.1212941768,77.7641581055,4.5151628198,13.6770274921,10.6289602177,14.5346669018,15.303625659,33.8171549258,5.1190459736,39.2749143856,10.1745248974,188.3438948339,14.6114664944,11.1886114853,4.6802217234,8.1020009512,6.2959248367,9.6188636275,7.7866789743,7.3356730637,11.8132095309,11.0628671766,8.1415191423,42.943254566,30.2787929693,9.45946355,8.0650464609,36.1126697239,36.1126697239,7.2489857461,9.7075597622,14.1279086511,1.3133235359,7.1614468145,22.9744168543,10.0538214575,40.2324566101,8.6610756536,0.7026216923,14.3820685924,7.1602334952,9.1521976143,5.9300184834,52.4382589537,175.176363306,1.8982471206,6.2847960149,21.5920809182,13.7074881624,42.4988494214,67.8540527538,1.8742983096,14.0464329763,8.0272149344,16.140658739,0.5126759119,36.166174795,12.4341242105,24.2841242538,64.3418106122,15.005840273,3.5472015019,40.930351191,9.0104864041,85.7868215357,35.9377150392,5.1726813456,22.1270886807,26.8005454184,26.137265075,16.6158584869,152.8952736788,14.151343906,18.241531559,16.7101864417,2.0086199927,34.8292429386,15.9817538093,87.918148684,4.9496864374,9.8899287559,2.9447137358,39.5498120076,6.3113804957,15.1854462683,6.9134272177,32.5558513717,5.5559815141,2.3516021465,9.9693844949,8.8878552642,14.2953184058,6.8614535303,25.5615977703,7.1925025354,32.3699353926,27.3959092428,4.1917619303,2.0068751081,0.5794239599,1.5611695908,1.3377662447
